Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,79.019997,79.750000,79.019997,79.430000,68.666786,397100
2011-01-04,79.330002,79.860001,79.110001,79.860001,69.038528,431400
2011-01-05,79.610001,80.379997,78.699997,80.199997,69.332451,521100
2011-01-06,81.070000,81.889999,80.879997,81.540001,70.490883,1073100
2011-01-07,82.620003,82.949997,82.150002,82.459999,71.286217,686200
2011-01-10,82.190002,82.769997,82.050003,82.769997,71.554207,416200
2011-01-11,83.290001,83.379997,82.870003,83.379997,72.081551,388300
2011-01-12,84.169998,84.639999,83.750000,84.440002,72.997925,591400
2011-01-13,85.269997,85.680000,85.000000,85.389999,73.819176,903800
2011-01-14,85.510002,86.099998,85.430000,85.959999,74.311943,537400
2011-01-18,85.309998,85.489998,84.870003,85.180000,73.637650,399800
2011-01-19,85.019997,85.029999,83.709999,84.000000,72.617531,574200
2011-01-20,83.470001,83.620003,82.519997,83.360001,72.064255,774300
2011-01-21,81.820000,82.330002,81.620003,82.010002,70.897202,607700
2011-01-24,82.419998,83.669998,82.169998,83.500000,72.185287,390900
2011-01-25,83.419998,83.980003,83.269997,83.860001,72.496513,306000
2011-01-26,82.379997,82.849998,82.050003,82.290001,71.139252,886900
2011-01-27,83.019997,83.809998,83.000000,83.529999,72.211220,476800
2011-01-28,82.400002,82.550003,81.150002,81.360001,70.335281,828100
2011-01-31,82.199997,82.540001,81.519997,82.180000,71.044159,648500
2011-02-01,82.610001,83.379997,82.339996,83.290001,72.003738,578600
2011-02-02,85.010002,85.110001,84.559998,85.000000,73.482048,950900
2011-02-03,84.440002,84.750000,83.769997,84.680000,73.205406,385400
2011-02-04,84.750000,84.750000,84.029999,84.750000,73.265900,464300
2011-02-07,84.730003,85.239998,84.699997,85.129997,73.594414,327900
2011-02-08,86.910004,89.309998,86.910004,88.570000,76.568268,2933200
2011-02-09,89.089996,89.629997,88.230003,89.629997,77.484650,1299900
2011-02-10,90.330002,90.980003,88.550003,88.820000,76.784401,2106500
2011-02-11,88.910004,90.199997,88.900002,90.050003,77.847733,891900
2011-02-14,92.610001,92.970001,92.349998,92.809998,80.233719,1060600
2011-02-15,93.099998,93.500000,92.660004,92.970001,80.372055,676500
2011-02-16,93.190002,93.739998,93.059998,93.680000,80.985855,446800
2011-02-17,93.589996,93.650002,93.220001,93.449997,80.787010,796200
2011-02-18,93.389999,93.489998,93.010002,93.199997,80.570877,373500
2011-02-22,91.199997,91.900002,90.349998,90.690002,78.401016,1023900
2011-02-23,90.480003,90.809998,89.089996,90.169998,77.951469,998000
